epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,3415.98,0.30189,0.29985,0.94695,0.9885,0.98576,0.99365,0.95461,0.30263,0.29608,0.55578,0.000148512,0.000148512,0.000148512
42,3491.94,0.28655,0.25494,0.93719,0.98055,0.99236,0.99361,0.95712,0.3081,0.30611,0.56776,0.000134375,0.000134375,0.000134375
43,3568.14,0.27819,0.24038,0.92914,0.98188,0.99056,0.99407,0.95609,0.29396,0.28889,0.55104,0.000120238,0.000120238,0.000120238
44,3643.68,0.27495,0.23921,0.93217,0.9871,0.98841,0.9937,0.95747,0.30683,0.31286,0.57345,0.0001061,0.0001061,0.0001061
45,3720.65,0.26879,0.22582,0.92506,0.98616,0.99481,0.9944,0.96137,0.28106,0.28448,0.53846,9.19632e-05,9.19632e-05,9.19632e-05
46,3796.37,0.26573,0.22292,0.92751,0.98594,0.99233,0.99413,0.95944,0.2855,0.29645,0.54367,7.7826e-05,7.7826e-05,7.7826e-05
47,3872.97,0.26358,0.22204,0.92613,0.99102,0.98747,0.99446,0.96281,0.26781,0.2741,0.5262,6.36888e-05,6.36888e-05,6.36888e-05
48,3947.28,0.25536,0.20565,0.91909,0.99158,0.9912,0.99436,0.96508,0.26678,0.26528,0.52676,4.95516e-05,4.95516e-05,4.95516e-05
49,4024.05,0.25367,0.2005,0.9164,0.99098,0.99212,0.99462,0.96442,0.26853,0.27926,0.52991,3.54144e-05,3.54144e-05,3.54144e-05
50,4098.88,0.24937,0.20228,0.91659,0.98723,0.99363,0.99436,0.96605,0.25757,0.26589,0.5184,2.12772e-05,2.12772e-05,2.12772e-05
